pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,seed,wins,losses,winp,cwins,closses,cwinp,year,team0,team1,result
254.0,2.844,70.0,11.0,0.032,-58.0,-216.0,0.035,172.0,257.0,-0.017,52.0,0.91,81.0,0.969,134.0,1.91,79.0,1.307,46.0,0.877,100.0,2.737,49.0,0.726,5.0,-0.932,-9.0,3.0,-1.0,0.035,-7.0,3.0,-0.188,2008.0,Kansas,Davidson,0.0
-254.0,-2.844,-70.0,-11.0,-0.032,58.0,216.0,-0.035,-172.0,-257.0,0.017,-52.0,-0.91,-81.0,-0.969,-134.0,-1.91,-79.0,-1.307,-46.0,-0.877,-100.0,-2.737,-49.0,-0.726,-5.0,0.932,9.0,-3.0,1.0,-0.035,7.0,-3.0,0.188,2008.0,Davidson,Kansas,1.0
512.0,11.369,217.0,200.0,0.072,39.0,115.0,-0.001,39.0,4.0,0.05,46.0,0.719,112.0,2.094,157.0,2.783,121.0,2.875,54.0,1.222,40.0,1.02,-36.0,-1.877,-87.0,-3.612,-15.0,14.0,-12.0,0.381,4.0,-4.0,0.222,2008.0,UCLA,Mississippi Valley State,0.0
-512.0,-11.369,-217.0,-200.0,-0.072,-39.0,-115.0,0.001,-39.0,-4.0,-0.05,-46.0,-0.719,-112.0,-2.094,-157.0,-2.783,-121.0,-2.875,-54.0,-1.222,-40.0,-1.02,36.0,1.877,87.0,3.612,15.0,-14.0,12.0,-0.381,-4.0,4.0,-0.222,2008.0,Mississippi Valley State,UCLA,1.0
86.0,2.53,20.0,68.0,-0.006,77.0,180.0,0.017,-31.0,-73.0,0.021,-53.0,-1.559,39.0,1.147,-13.0,-0.383,118.0,3.47,47.0,1.383,-9.0,-0.265,55.0,1.618,23.0,0.676,-1.0,1.0,-1.0,0.03,6.0,-6.0,0.375,2008.0,Brigham Young,Texas A&M,1.0
-86.0,-2.53,-20.0,-68.0,0.006,-77.0,-180.0,-0.017,31.0,73.0,-0.021,53.0,1.559,-39.0,-1.147,13.0,0.383,-118.0,-3.47,-47.0,-1.383,9.0,0.265,-55.0,-1.618,-23.0,-0.676,1.0,-1.0,1.0,-0.03,-6.0,6.0,-0.375,2008.0,Texas A&M,Brigham Young,0.0
193.0,3.632,116.0,154.0,0.024,-53.0,-179.0,0.021,14.0,71.0,-0.058,46.0,1.076,33.0,0.363,79.0,1.439,-50.0,-1.958,15.0,0.223,40.0,1.136,90.0,2.374,225.0,6.372,7.0,1.0,0.0,0.004,1.0,-1.0,0.056,2008.0,Drake,Western Kentucky,1.0
-193.0,-3.632,-116.0,-154.0,-0.024,53.0,179.0,-0.021,-14.0,-71.0,0.058,-46.0,-1.076,-33.0,-0.363,-79.0,-1.439,50.0,1.958,-15.0,-0.223,-40.0,-1.136,-90.0,-2.374,-225.0,-6.372,-7.0,-1.0,0.0,-0.004,-1.0,1.0,-0.056,2008.0,Western Kentucky,Drake,0.0
255.0,12.072,27.0,9.0,0.013,-4.0,-34.0,0.016,205.0,247.0,0.043,66.0,2.662,132.0,5.45,197.0,8.081,22.0,1.518,-47.0,-1.044,174.0,5.634,-65.0,-1.118,-101.0,-2.075,-9.0,1.0,-3.0,0.072,2.0,2.0,-0.064,2008.0,Connecticut,San Diego,1.0
-255.0,-12.072,-27.0,-9.0,-0.013,4.0,34.0,-0.016,-205.0,-247.0,-0.043,-66.0,-2.662,-132.0,-5.45,-197.0,-8.081,-22.0,-1.518,47.0,1.044,-174.0,-5.634,65.0,1.118,101.0,2.075,9.0,-1.0,3.0,-0.072,-2.0,-2.0,0.064,2008.0,San Diego,Connecticut,0.0
323.0,12.636,124.0,144.0,0.033,31.0,61.0,0.012,44.0,27.0,0.036,0.0,0.325,104.0,4.011,103.0,4.304,-51.0,-1.214,-44.0,-1.145,0.0,0.138,-17.0,-0.14,22.0,1.341,5.0,-3.0,2.0,-0.073,-6.0,4.0,-0.271,2008.0,Purdue,Baylor,0.0
-323.0,-12.636,-124.0,-144.0,-0.033,-31.0,-61.0,-0.012,-44.0,-27.0,-0.036,0.0,-0.325,-104.0,-4.011,-103.0,-4.304,51.0,1.214,44.0,1.145,0.0,-0.138,17.0,0.14,-22.0,-1.341,-5.0,3.0,-2.0,0.073,6.0,-4.0,0.271,2008.0,Baylor,Purdue,1.0
233.0,7.06,26.0,-141.0,0.05,58.0,52.0,0.063,123.0,105.0,0.07,-57.0,-1.728,15.0,0.454,-42.0,-1.273,127.0,3.848,-40.0,-1.212,0.0,0.0,-56.0,-1.697,-16.0,-0.485,-11.0,10.0,-10.0,0.303,10.0,-10.0,0.625,2008.0,Xavier,Georgia,0.0
-233.0,-7.06,-26.0,141.0,-0.05,-58.0,-52.0,-0.063,-123.0,-105.0,-0.07,57.0,1.728,-15.0,-0.454,42.0,1.273,-127.0,-3.848,40.0,1.212,0.0,0.0,56.0,1.697,16.0,0.485,11.0,-10.0,10.0,-0.303,-10.0,10.0,-0.625,2008.0,Georgia,Xavier,1.0
168.0,2.821,80.0,267.0,-0.024,33.0,151.0,-0.037,-25.0,29.0,-0.065,106.0,2.891,51.0,0.868,158.0,3.788,13.0,-0.076,59.0,1.57,57.0,1.573,-22.0,-1.0,104.0,2.576,-3.0,6.0,-5.0,0.159,3.0,-3.0,0.167,2008.0,West Virginia,Arizona,0.0
-168.0,-2.821,-80.0,-267.0,0.024,-33.0,-151.0,0.037,25.0,-29.0,0.065,-106.0,-2.891,-51.0,-0.868,-158.0,-3.788,-13.0,0.076,-59.0,-1.57,-57.0,-1.573,22.0,1.0,-104.0,-2.576,3.0,-6.0,5.0,-0.159,-3.0,3.0,-0.167,2008.0,Arizona,West Virginia,1.0
48.0,4.004,8.0,-43.0,0.014,-52.0,-183.0,0.019,84.0,125.0,-0.004,-11.0,0.004,-16.0,0.215,-29.0,0.158,-93.0,-2.362,-5.0,0.112,65.0,2.091,-51.0,-1.14,8.0,0.823,-13.0,1.0,-2.0,0.054,-1.0,1.0,-0.063,2008.0,Duke,Belmont,0.0
-48.0,-4.004,-8.0,43.0,-0.014,52.0,183.0,-0.019,-84.0,-125.0,0.004,11.0,-0.004,16.0,-0.215,29.0,-0.158,93.0,2.362,5.0,-0.112,-65.0,-2.091,51.0,1.14,-8.0,-0.823,13.0,-1.0,2.0,-0.054,1.0,-1.0,0.063,2008.0,Belmont,Duke,1.0
87.0,2.559,40.0,41.0,0.012,-16.0,-25.0,-0.013,23.0,-71.0,0.094,29.0,0.853,-117.0,-3.441,-88.0,-2.588,37.0,1.088,99.0,2.912,-18.0,-0.53,-21.0,-0.618,-94.0,-2.765,-8.0,6.0,-6.0,0.177,8.0,-6.0,0.389,2008.0,UCLA,Texas A&M,0.0
-87.0,-2.559,-40.0,-41.0,-0.012,16.0,25.0,0.013,-23.0,71.0,-0.094,-29.0,-0.853,117.0,3.441,88.0,2.588,-37.0,-1.088,-99.0,-2.912,18.0,0.53,21.0,0.618,94.0,2.765,8.0,-6.0,6.0,-0.177,-8.0,6.0,-0.389,2008.0,Texas A&M,UCLA,1.0
302.0,11.141,90.0,101.0,0.023,72.0,126.0,0.046,50.0,51.0,0.022,55.0,1.957,-15.0,0.188,40.0,2.145,-35.0,-0.658,28.0,1.054,14.0,0.52,-34.0,-0.588,108.0,3.797,-1.0,6.0,-7.0,0.201,5.0,-1.0,0.103,2008.0,Western Kentucky,San Diego,0.0
-302.0,-11.141,-90.0,-101.0,-0.023,-72.0,-126.0,-0.046,-50.0,-51.0,-0.022,-55.0,-1.957,15.0,-0.188,-40.0,-2.145,35.0,0.658,-28.0,-1.054,-14.0,-0.52,34.0,0.588,-108.0,-3.797,1.0,-6.0,7.0,-0.201,-5.0,1.0,-0.103,2008.0,San Diego,Western Kentucky,1.0
287.0,6.614,93.0,-7.0,0.055,20.0,15.0,0.022,81.0,69.0,0.044,15.0,0.148,130.0,3.324,144.0,3.441,85.0,2.17,-88.0,-2.924,-23.0,-0.826,24.0,0.344,-55.0,-2.261,-3.0,3.0,-2.0,0.068,-1.0,-1.0,0.042,2008.0,Xavier,Purdue,0.0
-287.0,-6.614,-93.0,7.0,-0.055,-20.0,-15.0,-0.022,-81.0,-69.0,-0.044,-15.0,-0.148,-130.0,-3.324,-144.0,-3.441,-85.0,-2.17,88.0,2.924,23.0,0.826,-24.0,-0.344,55.0,2.261,3.0,-3.0,2.0,-0.068,1.0,1.0,-0.042,2008.0,Purdue,Xavier,1.0
146.0,9.243,18.0,-10.0,0.012,49.0,71.0,0.031,61.0,75.0,0.013,-4.0,0.538,-21.0,0.741,-27.0,1.219,-45.0,-0.438,33.0,1.482,-46.0,-1.118,54.0,2.375,-33.0,0.156,-5.0,1.0,-3.0,0.077,2.0,-4.0,0.201,2008.0,Duke,West Virginia,1.0
-146.0,-9.243,-18.0,10.0,-0.012,-49.0,-71.0,-0.031,-61.0,-75.0,-0.013,4.0,-0.538,21.0,-0.741,27.0,-1.219,45.0,0.438,-33.0,-1.482,46.0,1.118,-54.0,-2.375,33.0,-0.156,5.0,-1.0,3.0,-0.077,-2.0,4.0,-0.201,2008.0,West Virginia,Duke,0.0
-15.0,-2.7,-4.0,-25.0,0.005,-56.0,-82.0,-0.044,49.0,36.0,0.033,10.0,-0.045,59.0,1.106,68.0,1.032,76.0,1.864,-6.0,-0.407,4.0,0.009,-54.0,-2.001,-210.0,-6.797,-11.0,3.0,-2.0,0.064,0.0,0.0,0.0,2008.0,UCLA,Western Kentucky,0.0
15.0,2.7,4.0,25.0,-0.005,56.0,82.0,0.044,-49.0,-36.0,-0.033,-10.0,0.045,-59.0,-1.106,-68.0,-1.032,-76.0,-1.864,6.0,0.407,-4.0,-0.009,54.0,2.001,210.0,6.797,11.0,-3.0,2.0,-0.064,0.0,0.0,0.0,2008.0,Western Kentucky,UCLA,1.0
-60.0,0.451,-62.0,-227.0,0.024,8.0,-49.0,0.039,56.0,9.0,0.068,-23.0,-0.376,20.0,1.283,-4.0,0.879,-14.0,0.045,-61.0,-1.63,-60.0,-1.663,55.0,2.0,-74.0,-1.667,-4.0,2.0,-3.0,0.083,3.0,-5.0,0.264,2008.0,Xavier,West Virginia,0.0
60.0,-0.451,62.0,227.0,-0.024,-8.0,49.0,-0.039,-56.0,-9.0,-0.068,23.0,0.376,-20.0,-1.283,4.0,-0.879,14.0,-0.045,61.0,1.63,60.0,1.663,-55.0,-2.0,74.0,1.667,4.0,-2.0,3.0,-0.083,-3.0,5.0,-0.264,2008.0,West Virginia,Xavier,1.0
33.0,-1.245,62.0,130.0,0.0,-71.0,-116.0,-0.047,-20.0,-8.0,-0.019,53.0,1.258,-15.0,-1.136,37.0,0.092,-20.0,-1.045,69.0,1.865,11.0,0.221,-20.0,-0.971,-86.0,-3.039,-2.0,4.0,-3.0,0.094,2.0,0.0,0.014,2008.0,UCLA,Xavier,0.0
-33.0,1.245,-62.0,-130.0,0.0,71.0,116.0,0.047,20.0,8.0,0.019,-53.0,-1.258,15.0,1.136,-37.0,-0.092,20.0,1.045,-69.0,-1.865,-11.0,-0.221,20.0,0.971,86.0,3.039,2.0,-4.0,3.0,-0.094,-2.0,0.0,-0.014,2008.0,Xavier,UCLA,1.0
791.0,19.175,302.0,499.0,0.035,-4.0,-25.0,0.011,191.0,200.0,0.059,201.0,5.375,196.0,4.421,398.0,9.827,156.0,3.829,49.0,1.012,39.0,0.93,42.0,0.4,-63.0,-3.029,-15.0,13.0,-11.0,0.35,3.0,-5.0,0.264,2008.0,North Carolina,Mount St. Mary's,0.0
-791.0,-19.175,-302.0,-499.0,-0.035,4.0,25.0,-0.011,-191.0,-200.0,-0.059,-201.0,-5.375,-196.0,-4.421,-398.0,-9.827,-156.0,-3.829,-49.0,-1.012,-39.0,-0.93,-42.0,-0.4,63.0,3.029,15.0,-13.0,11.0,-0.35,-3.0,5.0,-0.264,2008.0,Mount St. Mary's,North Carolina,1.0
26.0,-1.489,71.0,145.0,0.002,-17.0,-36.0,-0.007,-99.0,-46.0,-0.091,53.0,1.28,-42.0,-2.042,11.0,-0.761,58.0,1.357,6.0,-0.031,54.0,1.521,72.0,1.772,76.0,1.781,1.0,-1.0,2.0,-0.053,-5.0,3.0,-0.216,2008.0,Indiana,Arkansas,1.0
-26.0,1.489,-71.0,-145.0,-0.002,17.0,36.0,0.007,99.0,46.0,0.091,-53.0,-1.28,42.0,2.042,-11.0,0.761,-58.0,-1.357,-6.0,0.031,-54.0,-1.521,-72.0,-1.772,-76.0,-1.781,-1.0,1.0,-2.0,0.053,5.0,-3.0,0.216,2008.0,Arkansas,Indiana,0.0
190.0,10.643,66.0,172.0,-0.008,59.0,62.0,0.058,-1.0,-31.0,0.032,58.0,2.473,69.0,3.732,128.0,6.236,148.0,5.632,13.0,0.781,7.0,0.441,8.0,1.026,-63.0,-1.0,-7.0,1.0,-3.0,0.077,2.0,-2.0,0.111,2008.0,Notre Dame,George Mason,0.0
-190.0,-10.643,-66.0,-172.0,0.008,-59.0,-62.0,-0.058,1.0,31.0,-0.032,-58.0,-2.473,-69.0,-3.732,-128.0,-6.236,-148.0,-5.632,-13.0,-0.781,-7.0,-0.441,-8.0,-1.026,63.0,1.0,7.0,-1.0,3.0,-0.077,-2.0,2.0,-0.111,2008.0,George Mason,Notre Dame,1.0
-19.0,1.456,-35.0,-207.0,0.036,-7.0,-32.0,0.009,58.0,-46.0,0.138,-136.0,-3.912,-100.0,-2.417,-235.0,-6.297,10.0,0.718,-80.0,-2.235,-29.0,-0.792,-101.0,-2.754,-89.0,-2.233,-9.0,2.0,-3.0,0.083,1.0,3.0,-0.103,2008.0,Washington State,Winthrop,0.0
19.0,-1.456,35.0,207.0,-0.036,7.0,32.0,-0.009,-58.0,46.0,-0.138,136.0,3.912,100.0,2.417,235.0,6.297,-10.0,-0.718,80.0,2.235,29.0,0.792,101.0,2.754,89.0,2.233,9.0,-2.0,3.0,-0.083,-1.0,-3.0,0.103,2008.0,Winthrop,Washington State,1.0
162.0,4.909,43.0,-40.0,0.035,32.0,26.0,0.037,44.0,18.0,0.045,-50.0,-1.515,-84.0,-2.546,-134.0,-4.061,78.0,2.364,20.0,0.606,24.0,0.728,-10.0,-0.303,16.0,0.485,5.0,-1.0,1.0,-0.031,0.0,0.0,0.0,2008.0,Oklahoma,Saint Joseph's,0.0
-162.0,-4.909,-43.0,40.0,-0.035,-32.0,-26.0,-0.037,-44.0,-18.0,-0.045,50.0,1.515,84.0,2.546,134.0,4.061,-78.0,-2.364,-20.0,-0.606,-24.0,-0.728,10.0,0.303,-16.0,-0.485,-5.0,1.0,-1.0,0.031,0.0,0.0,0.0,2008.0,Saint Joseph's,Oklahoma,1.0
404.0,10.062,152.0,102.0,0.056,26.0,-31.0,0.055,74.0,101.0,0.01,-53.0,-1.939,9.0,-0.492,-45.0,-2.462,116.0,3.067,-49.0,-1.73,-77.0,-2.482,78.0,1.962,-4.0,-0.673,11.0,0.0,1.0,-0.023,-2.0,0.0,-0.028,2008.0,Louisville,Boise State,0.0
-404.0,-10.062,-152.0,-102.0,-0.056,-26.0,31.0,-0.055,-74.0,-101.0,-0.01,53.0,1.939,-9.0,0.492,45.0,2.462,-116.0,-3.067,49.0,1.73,77.0,2.482,-78.0,-1.962,4.0,0.673,-11.0,0.0,-1.0,0.023,2.0,0.0,0.028,2008.0,Boise State,Louisville,1.0
232.0,7.25,93.0,112.0,0.025,-79.0,-193.0,-0.011,127.0,200.0,-0.025,101.0,3.157,132.0,4.125,233.0,7.281,85.0,2.656,-4.0,-0.125,17.0,0.531,121.0,3.781,11.0,0.343,3.0,-3.0,3.0,-0.094,0.0,0.0,0.0,2008.0,Butler,South Alabama,0.0
-232.0,-7.25,-93.0,-112.0,-0.025,79.0,193.0,0.011,-127.0,-200.0,0.025,-101.0,-3.157,-132.0,-4.125,-233.0,-7.281,-85.0,-2.656,4.0,0.125,-17.0,-0.531,-121.0,-3.781,-11.0,-0.343,-3.0,3.0,-3.0,0.094,0.0,0.0,0.0,2008.0,South Alabama,Butler,1.0
655.0,17.876,291.0,569.0,0.018,45.0,204.0,-0.047,28.0,128.0,-0.087,185.0,5.362,77.0,1.686,262.0,7.049,219.0,6.276,159.0,4.679,28.0,0.769,-6.0,-0.584,119.0,3.075,-13.0,7.0,-6.0,0.192,4.0,-2.0,0.161,2008.0,Tennessee,American University,0.0
-655.0,-17.876,-291.0,-569.0,-0.018,-45.0,-204.0,0.047,-28.0,-128.0,0.087,-185.0,-5.362,-77.0,-1.686,-262.0,-7.049,-219.0,-6.276,-159.0,-4.679,-28.0,-0.769,6.0,0.584,-119.0,-3.075,13.0,-7.0,6.0,-0.192,-4.0,2.0,-0.161,2008.0,American University,Tennessee,1.0
586.0,15.07,201.0,350.0,0.017,-6.0,-75.0,0.039,190.0,176.0,0.082,96.0,2.47,157.0,3.932,253.0,6.401,89.0,2.19,52.0,1.324,-19.0,-0.715,-9.0,-0.715,-50.0,-2.029,-8.0,8.0,-7.0,0.215,5.0,-5.0,0.313,2008.0,North Carolina,Arkansas,0.0
-586.0,-15.07,-201.0,-350.0,-0.017,6.0,75.0,-0.039,-190.0,-176.0,-0.082,-96.0,-2.47,-157.0,-3.932,-253.0,-6.401,-89.0,-2.19,-52.0,-1.324,19.0,0.715,9.0,0.715,50.0,2.029,8.0,-8.0,7.0,-0.215,-5.0,5.0,-0.313,2008.0,Arkansas,North Carolina,1.0
353.0,13.551,131.0,349.0,-0.019,58.0,104.0,0.029,33.0,43.0,0.003,145.0,4.9,191.0,6.815,336.0,11.715,149.0,5.247,-2.0,0.137,25.0,0.899,78.0,2.841,-25.0,-0.312,1.0,0.0,-1.0,0.024,3.0,-3.0,0.167,2008.0,Washington State,Notre Dame,0.0
-353.0,-13.551,-131.0,-349.0,0.019,-58.0,-104.0,-0.029,-33.0,-43.0,-0.003,-145.0,-4.9,-191.0,-6.815,-336.0,-11.715,-149.0,-5.247,2.0,-0.137,-25.0,-0.899,-78.0,-2.841,25.0,0.312,-1.0,0.0,1.0,-0.024,-3.0,3.0,-0.167,2008.0,Notre Dame,Washington State,1.0
44.0,3.514,24.0,9.0,0.011,32.0,104.0,-0.006,-36.0,-28.0,-0.026,2.0,0.394,29.0,1.643,32.0,2.068,61.0,2.297,41.0,1.488,27.0,0.967,2.0,0.462,24.0,1.279,-3.0,3.0,-4.0,0.114,5.0,-3.0,0.216,2008.0,Louisville,Oklahoma,0.0
-44.0,-3.514,-24.0,-9.0,-0.011,-32.0,-104.0,0.006,36.0,28.0,0.026,-2.0,-0.394,-29.0,-1.643,-32.0,-2.068,-61.0,-2.297,-41.0,-1.488,-27.0,-0.967,-2.0,-0.462,-24.0,-1.279,3.0,-3.0,4.0,-0.114,-5.0,3.0,-0.216,2008.0,Oklahoma,Louisville,1.0
551.0,14.626,241.0,483.0,0.011,1.0,32.0,-0.014,68.0,177.0,-0.081,178.0,5.143,133.0,3.436,311.0,8.58,184.0,5.182,105.0,2.992,31.0,0.863,98.0,2.666,138.0,3.668,-5.0,-1.0,2.0,-0.058,-2.0,0.0,-0.014,2008.0,Tennessee,Butler,0.0
-551.0,-14.626,-241.0,-483.0,-0.011,-1.0,-32.0,0.014,-68.0,-177.0,0.081,-178.0,-5.143,-133.0,-3.436,-311.0,-8.58,-184.0,-5.182,-105.0,-2.992,-31.0,-0.863,-98.0,-2.666,-138.0,-3.668,5.0,1.0,-2.0,0.058,2.0,0.0,0.014,2008.0,Butler,Tennessee,1.0
870.0,21.644,339.0,689.0,0.004,-16.0,-37.0,-0.003,208.0,259.0,0.021,272.0,7.594,279.0,7.015,550.0,14.577,131.0,3.047,83.0,2.074,65.0,1.743,173.0,4.494,87.0,1.659,-3.0,7.0,-5.0,0.162,3.0,-5.0,0.264,2008.0,North Carolina,Washington State,0.0
-870.0,-21.644,-339.0,-689.0,-0.004,16.0,37.0,0.003,-208.0,-259.0,-0.021,-272.0,-7.594,-279.0,-7.015,-550.0,-14.577,-131.0,-3.047,-83.0,-2.074,-65.0,-1.743,-173.0,-4.494,-87.0,-1.659,3.0,-7.0,5.0,-0.162,-3.0,5.0,-0.264,2008.0,Washington State,North Carolina,1.0
436.0,11.032,152.0,298.0,0.008,55.0,113.0,0.02,77.0,116.0,0.001,91.0,2.424,-47.0,-2.189,43.0,0.205,126.0,3.37,47.0,1.179,-45.0,-1.512,-5.0,-0.553,98.0,2.418,-1.0,3.0,-2.0,0.067,0.0,-2.0,0.097,2008.0,Tennessee,Louisville,1.0
-436.0,-11.032,-152.0,-298.0,-0.008,-55.0,-113.0,-0.02,-77.0,-116.0,-0.001,-91.0,-2.424,47.0,2.189,-43.0,-0.205,-126.0,-3.37,-47.0,-1.179,45.0,1.512,5.0,0.553,-98.0,-2.418,1.0,-3.0,2.0,-0.067,0.0,2.0,-0.097,2008.0,Louisville,Tennessee,0.0
714.0,16.768,267.0,445.0,0.029,-53.0,-206.0,0.036,233.0,223.0,0.099,141.0,3.5,120.0,2.046,260.0,5.515,95.0,1.923,24.0,0.23,0.0,-0.288,72.0,1.338,-5.0,-1.217,-2.0,6.0,-4.0,0.131,0.0,-2.0,0.097,2008.0,North Carolina,Louisville,0.0
-714.0,-16.768,-267.0,-445.0,-0.029,53.0,206.0,-0.036,-233.0,-223.0,-0.099,-141.0,-3.5,-120.0,-2.046,-260.0,-5.515,-95.0,-1.923,-24.0,-0.23,0.0,0.288,-72.0,-1.338,5.0,1.217,2.0,-6.0,4.0,-0.131,0.0,2.0,-0.097,2008.0,Louisville,North Carolina,1.0
350.0,5.957,134.0,335.0,-0.012,73.0,207.0,0.001,9.0,91.0,-0.062,125.0,3.106,32.0,-0.605,158.0,2.533,94.0,1.935,83.0,2.05,123.0,3.463,-137.0,-5.035,-33.0,-2.121,-15.0,12.0,-10.0,0.315,9.0,-9.0,0.562,2008.0,Memphis,Texas-Arlington,0.0
-350.0,-5.957,-134.0,-335.0,0.012,-73.0,-207.0,-0.001,-9.0,-91.0,0.062,-125.0,-3.106,-32.0,0.605,-158.0,-2.533,-94.0,-1.935,-83.0,-2.05,-123.0,-3.463,137.0,5.035,33.0,2.121,15.0,-12.0,10.0,-0.315,-9.0,9.0,-0.562,2008.0,Texas-Arlington,Memphis,1.0
-42.0,-3.712,-1.0,87.0,-0.024,-47.0,-6.0,-0.067,7.0,56.0,-0.045,84.0,2.348,175.0,4.761,257.0,7.044,-39.0,-1.684,50.0,1.419,175.0,5.39,90.0,2.419,-30.0,-1.503,-1.0,4.0,-3.0,0.107,3.0,-5.0,0.25,2008.0,Mississippi State,Oregon,0.0
42.0,3.712,1.0,-87.0,0.024,47.0,6.0,0.067,-7.0,-56.0,0.045,-84.0,-2.348,-175.0,-4.761,-257.0,-7.044,39.0,1.684,-50.0,-1.419,-175.0,-5.39,-90.0,-2.419,30.0,1.503,1.0,-4.0,3.0,-0.107,-3.0,5.0,-0.25,2008.0,Oregon,Mississippi State,1.0
-43.0,-1.303,33.0,37.0,0.009,-96.0,-259.0,0.001,-13.0,-9.0,-0.01,119.0,3.606,13.0,0.394,134.0,4.061,84.0,2.545,-6.0,-0.182,-2.0,-0.06,29.0,0.878,10.0,0.303,-7.0,5.0,-5.0,0.152,1.0,1.0,-0.021,2008.0,Michigan State,Temple,0.0
43.0,1.303,-33.0,-37.0,-0.009,96.0,259.0,-0.001,13.0,9.0,0.01,-119.0,-3.606,-13.0,-0.394,-134.0,-4.061,-84.0,-2.545,6.0,0.182,2.0,0.06,-29.0,-0.878,-10.0,-0.303,7.0,-5.0,5.0,-0.152,-1.0,-1.0,0.021,2008.0,Temple,Michigan State,1.0
376.0,4.799,185.0,344.0,0.015,1.0,50.0,-0.028,5.0,21.0,-0.012,128.0,2.77,33.0,-1.024,161.0,1.748,122.0,2.32,38.0,0.55,-12.0,-0.683,7.0,-0.919,27.0,-0.673,-9.0,1.0,2.0,-0.036,-6.0,6.0,-0.333,2008.0,Pittsburgh,Oral Roberts,0.0
-376.0,-4.799,-185.0,-344.0,-0.015,-1.0,-50.0,0.028,-5.0,-21.0,0.012,-128.0,-2.77,-33.0,1.024,-161.0,-1.748,-122.0,-2.32,-38.0,-0.55,12.0,0.683,-7.0,0.919,-27.0,0.673,9.0,-1.0,-2.0,0.036,6.0,-6.0,0.333,2008.0,Oral Roberts,Pittsburgh,1.0
445.0,7.248,163.0,438.0,-0.022,57.0,181.0,-0.015,62.0,117.0,-0.032,124.0,2.93,42.0,-0.839,164.0,2.027,108.0,2.115,115.0,2.873,-18.0,-0.982,-41.0,-2.658,126.0,2.112,-5.0,6.0,-3.0,0.127,-1.0,3.0,-0.139,2008.0,Marquette,Kentucky,0.0
-445.0,-7.248,-163.0,-438.0,0.022,-57.0,-181.0,0.015,-62.0,-117.0,0.032,-124.0,-2.93,-42.0,0.839,-164.0,-2.027,-108.0,-2.115,-115.0,-2.873,18.0,0.982,41.0,2.658,-126.0,-2.112,5.0,-6.0,3.0,-0.127,1.0,-3.0,0.139,2008.0,Kentucky,Marquette,1.0
249.0,-6.481,80.0,324.0,-0.043,-42.0,-37.0,-0.054,131.0,237.0,-0.067,178.0,3.872,169.0,0.845,346.0,4.687,49.0,-1.344,-19.0,-1.673,87.0,2.064,30.0,-1.563,73.0,-1.107,-11.0,4.0,2.0,-0.027,-1.0,5.0,-0.278,2008.0,Stanford,Cornell,0.0
-249.0,6.481,-80.0,-324.0,0.043,42.0,37.0,0.054,-131.0,-237.0,0.067,-178.0,-3.872,-169.0,-0.845,-346.0,-4.687,-49.0,1.344,19.0,1.673,-87.0,-2.064,-30.0,1.563,-73.0,1.107,11.0,-4.0,-2.0,0.027,1.0,-5.0,0.278,2008.0,Cornell,Stanford,1.0
23.0,-1.657,-9.0,74.0,-0.023,-25.0,-111.0,0.026,66.0,18.0,0.076,21.0,0.29,-17.0,-1.3,4.0,-1.011,-29.0,-1.363,-37.0,-1.386,-15.0,-0.635,5.0,-0.269,62.0,1.396,-3.0,-3.0,4.0,-0.118,-4.0,6.0,-0.357,2008.0,Miami (FL),Saint Mary's,0.0
-23.0,1.657,9.0,-74.0,0.023,25.0,111.0,-0.026,-66.0,-18.0,-0.076,-21.0,-0.29,17.0,1.3,-4.0,1.011,29.0,1.363,37.0,1.386,15.0,0.635,-5.0,0.269,-62.0,-1.396,3.0,3.0,-4.0,0.118,4.0,-6.0,0.357,2008.0,Saint Mary's,Miami (FL),1.0
34.0,1.0,85.0,181.0,0.002,3.0,10.0,-0.001,-139.0,-170.0,-0.026,98.0,2.883,117.0,3.441,215.0,6.324,-53.0,-1.559,-120.0,-3.529,102.0,3.0,-107.0,-3.147,-42.0,-1.235,-13.0,4.0,-4.0,0.118,-3.0,-1.0,0.012,2008.0,Texas,Austin Peay,0.0
-34.0,-1.0,-85.0,-181.0,-0.002,-3.0,-10.0,0.001,139.0,170.0,0.026,-98.0,-2.883,-117.0,-3.441,-215.0,-6.324,53.0,1.559,120.0,3.529,-102.0,-3.0,107.0,3.147,42.0,1.235,13.0,-4.0,4.0,-0.118,3.0,1.0,-0.012,2008.0,Austin Peay,Texas,1.0
370.0,6.582,143.0,289.0,0.005,47.0,104.0,0.016,37.0,118.0,-0.048,76.0,1.575,-5.0,-1.762,72.0,-0.154,122.0,2.81,104.0,2.706,-47.0,-1.85,-70.0,-2.941,63.0,0.879,-7.0,11.0,-9.0,0.283,4.0,-4.0,0.25,2008.0,Memphis,Mississippi State,0.0
